metabolite,state,time_point,qs,std_err,err_perc,ub,lb
Leucine,LP_TR,24,-0.005459548939678942,6.989028657946363e-4,-0.12801476340199938,-0.004760646073884306,-0.006158451805473578
Leucine,LP_TR,48,-0.002702408778614652,2.608964744939802e-4,-0.09654219471109206,-0.0024415123041206716,-0.002963305253108632
Leucine,LP_TR,72,-0.001510512560930371,1.4270950099570023e-4,-0.09447753344586626,-0.0013678030599346708,-0.0016532220619260712
Leucine,LP_MO,4,-0.012396423801063703,0.00311021043407677,-0.250895781234092,-0.009286213366986934,-0.015506634235140473
Leucine,LP_MO,24,-0.005505542757338426,9.859743686331233e-4,-0.17908758719908266,-0.004519568388705302,-0.00649151712597155
Leucine,LP_MO,48,-0.0028657773118655958,2.913129224139435e-4,-0.10165232351019673,-0.002574464389451652,-0.0031570902342795393
Leucine,LP_MO,72,-0.0015934110345344264,1.9351909781132514e-4,-0.12144957805433351,-0.0013998919367231013,-0.0017869301323457515
Lysine,HP_TR,4,-0.006127861604016849,7.098246045389603e-4,-0.11583561287899619,-0.005418036999477889,-0.006837686208555809
Lysine,HP_TR,24,-0.0031082852017684033,3.49341535421884e-4,-0.11239043805347475,-0.0027589436663465194,-0.003457626737190287
Lysine,HP_TR,48,-0.0018577950980161685,1.402486374129755e-4,-0.07549198378375467,-0.001717546460603193,-0.001998043735429144
Lysine,HP_TR,72,-0.0012501450619286137,7.60769147781363e-5,-0.06085446968911875,-0.0011740681471504775,-0.00132622197670675
Lysine,HP_MO,4,-0.008397825375165105,0.0010724008514637522,-0.1276998274619003,-0.007325424523701353,-0.009470226226628856
Lysine,HP_MO,24,-0.003337514828022818,3.3290443129232897e-4,-0.09974620292235387,-0.003004610396730489,-0.003670419259315147
Lysine,HP_MO,48,-0.0017268198325508521,1.1394233389637579e-4,-0.06598391548935396,-0.0016128774986544764,-0.0018407621664472279
Lysine,HP_MO,72,-0.0010439147528869082,6.911217579434281e-5,-0.06620480801063076,-9.748025770925653e-4,-0.0011130269286812509
Lysine,LP_TR,4,-0.006843744591846869,9.622405088856778e-4,-0.14060146400437268,-0.005881504082961191,-0.007805985100732547
Lysine,LP_TR,24,-0.003208970838037478,4.2204916007354174e-4,-0.13152165643601044,-0.0027869216779639362,-0.00363101999811102
Lysine,LP_TR,48,-0.0016668719341870184,1.6263437286917365e-4,-0.09756860712187534,-0.0015042375613178447,-0.0018295063070561922
Lysine,LP_TR,72,-9.777272434134813e-4,8.914655850654565e-5,-0.09117732896069618,-8.885806849069357e-4,-0.001066873801920027
Lysine,LP_MO,4,-0.006203296234340174,0.0015417886474033467,-0.24854344999168693,-0.004661507586936827,-0.00774508488174352
Lysine,LP_MO,24,-0.0029935639282153126,5.375130657360201e-4,-0.17955623418286973,-0.0024560508624792924,-0.003531076993951333
Lysine,LP_MO,48,-0.0017214942913108238,1.6797074660418113e-4,-0.09757264223994642,-0.0015535235447066427,-0.001889465037915005
Lysine,LP_MO,72,-0.001057464305422485,1.0642286563674094e-4,-0.1006396765271639,-9.510414397857441e-4,-0.001163887171059226
Methionine,HP_TR,4,-0.004095258240214898,4.39731078582056e-4,-0.10737566541322219,-0.0036555271616328425,-0.004534989318796955
Methionine,HP_TR,24,-0.0017609848774883452,1.859731740449493e-4,-0.10560747932724944,-0.0015750117034433958,-0.0019469580515332945
Methionine,HP_TR,48,-8.63271659572845e-4,6.266709250078678e-5,-0.07259255160976215,-8.006045670720583e-4,-9.259387520736317e-4
Methionine,HP_TR,72,-4.764583979869742e-4,3.345946586364854e-5,-0.07022536701003491,-4.4299893212332563e-4,-5.099178638506227e-4
Methionine,HP_MO,4,-0.0055569368051242634,6.09311991216804e-4,-0.10964889697052775,-0.004947624813907459,-0.006166248796341068
Methionine,HP_MO,24,-0.0018061680923309614,1.5783749905183968e-4,-0.08738804528882,-0.0016483305932791217,-0.0019640055913828012
Methionine,HP_MO,48,-7.341445890190858e-4,4.549811747498503e-5,-0.06197432788516023,-6.886464715441008e-4,-7.796427064940709e-4
Methionine,HP_MO,72,-3.486576686688871e-4,2.4780680812879142e-5,-0.07107453252781551,-3.23876987856008e-4,-3.7343834948176625e-4
Methionine,LP_TR,4,-0.00433586068244336,5.993691145964465e-4,-0.13823532592349988,-0.0037364915678469134,-0.004935229797039807
Methionine,LP_TR,24,-0.0016403518283943427,2.063423420600557e-4,-0.12579151526415755,-0.001434009486334287,-0.0018466941704543983
Methionine,LP_TR,48,-6.585990861403387e-4,7.10187006008981e-5,-0.10783297774841576,-5.875803855394406e-4,-7.296177867412368e-4
Methionine,LP_TR,72,-2.9859618791243684e-4,4.113624897729815e-5,-0.13776548610647812,-2.574599389351387e-4,-3.39732436889735e-4
Methionine,LP_MO,4,-0.004414091253899958,0.001031240904041637,-0.23362473603836587,-0.003382850349858321,-0.0054453321579415945
Methionine,LP_MO,24,-0.0015751701601987053,2.6454562367427453e-4,-0.16794733061785688,-0.0013106245365244308,-0.0018397157838729798
Methionine,LP_MO,48,-6.305923665786913e-4,6.221399462217712e-5,-0.09865960629958478,-5.683783719565141e-4,-6.928063612008684e-4
Methionine,LP_MO,72,-2.696578220470993e-4,3.312180333899631e-5,-0.12282901006747413,-2.36536018708103e-4,-3.027796253860956e-4
Phenylalanine,HP_TR,4,-0.003971574501502125,4.62812463613914e-4,-0.11653123048273917,-0.0035087620378882107,-0.0044343869651160385
Phenylalanine,HP_TR,24,-0.001939630388548816,2.1729973323798225e-4,-0.11203151616971756,-0.0017223306553108338,-0.002156930121786798
Phenylalanine,HP_TR,48,-0.0011077688673773387,8.331090327642482e-5,-0.07520603415554075,-0.0010244579641009138,-0.0011910797706537635
Phenylalanine,HP_TR,72,-7.123033336472207e-4,4.536171210946988e-5,-0.06368313886333146,-6.669416215377508e-4,-7.576650457566906e-4
Phenylalanine,HP_MO,4,-0.0041820659522239885,5.119698457985407e-4,-0.12242031848547949,-0.0036700961064254477,-0.004694035798022529
Phenylalanine,HP_MO,24,-0.0017016746649149794,1.6509156533016226e-4,-0.09701711421930978,-0.0015365830995848172,-0.0018667662302451417
